parent,subcategory_slug,name,url
food,beverage,Beverage,https://www.finelib.com/business/food/beverage
food,bottled-water,Bottled Water,https://www.finelib.com/business/food/bottled-water
food,catering-services,Catering Services,https://www.finelib.com/business/food/catering-services
food,chefs,Chefs,https://www.finelib.com/business/food/chefs
food,confectioneries,Confectioneries,https://www.finelib.com/business/food/confectioneries
food,flour-mills,Flour Mills,https://www.finelib.com/business/food/flour-mills
food,food-distribution,Food Distribution,https://www.finelib.com/business/food/food-distribution
food,food-packing-and-bottling,Food Packing and Bottling,https://www.finelib.com/business/food/food-packing-and-bottling
food,food-processing,Food Processing,https://www.finelib.com/business/food/food-processing
food,food-stores,Food Stores,https://www.finelib.com/business/food/food-stores
food,food-and-beverage-machinery,Food and Beverage Machinery,https://www.finelib.com/business/food/food-and-beverage-machinery
food,fruit-drinks,Fruit Drinks,https://www.finelib.com/business/food/fruit-drinks
food,meat-and-poultry,Meat and Poultry,https://www.finelib.com/business/food/meat-and-poultry
food,milk-and-dairy-products,Milk and Dairy Products,https://www.finelib.com/business/food/milk-and-dairy-products
food,nigerian-foodstuffs,Nigerian Foodstuffs,https://www.finelib.com/business/food/nigerian-foodstuffs
food,restaurants,Restaurants,https://www.finelib.com/business/food/restaurants
food,seafood,Seafood,https://www.finelib.com/business/food/seafood
food,snacks,Snacks,https://www.finelib.com/business/food/snacks
food,tobacco,Tobacco,https://www.finelib.com/business/food/tobacco
food,water-companies,Water Companies,https://www.finelib.com/business/food/water-companies
healthcare,baby-care,Baby Care,https://www.finelib.com/business/healthcare/baby-care
healthcare,feminine-hygiene,Feminine Hygiene,https://www.finelib.com/business/healthcare/feminine-hygiene
healthcare,fitness,Fitness,https://www.finelib.com/business/healthcare/fitness
healthcare,medical-bookkeeping-companies,Medical Bookkeeping Companies,https://www.finelib.com/business/healthcare/medical-bookkeeping-companies
healthcare,medical-equipment,Medical Equipment,https://www.finelib.com/business/healthcare/medical-equipment
healthcare,nutritional-supplements,Nutritional Supplements,https://www.finelib.com/business/healthcare/nutritional-supplements
healthcare,pharmaceuticals,Pharmaceuticals,https://www.finelib.com/business/healthcare/pharmaceuticals
healthcare,pharmacies,Pharmacies,https://www.finelib.com/business/healthcare/pharmacies
healthcare,sanitary-paper,Sanitary Paper,https://www.finelib.com/business/healthcare/sanitary-paper
home-and-living,beds-and-bedding,Beds and Bedding,https://www.finelib.com/business/home-and-living/beds-and-bedding
home-and-living,carpets-and-rugs,Carpets and Rugs,https://www.finelib.com/business/home-and-living/carpets-and-rugs
home-and-living,foams-and-mattresses,Foams and Mattresses,https://www.finelib.com/business/home-and-living/foams-and-mattresses
home-and-living,fumigation-and-pest-control,Fumigation and Pest Control,https://www.finelib.com/business/home-and-living/fumigation-and-pest-control
home-and-living,furniture,Furniture,https://www.finelib.com/business/home-and-living/furniture
home-and-living,garden-supplies,Garden Supplies,https://www.finelib.com/business/home-and-living/garden-supplies
home-and-living,handymen,Handymen,https://www.finelib.com/business/home-and-living/handymen
home-and-living,home-appliance,Home Appliance,https://www.finelib.com/business/home-and-living/home-appliance
home-and-living,home-automation,Home Automation,https://www.finelib.com/business/home-and-living/home-automation
home-and-living,home-electronics,Home Electronics,https://www.finelib.com/business/home-and-living/home-electronics
home-and-living,home-repairs,Home Repairs,https://www.finelib.com/business/home-and-living/home-repairs
home-and-living,interior-decorators,Interior Decorators,https://www.finelib.com/business/home-and-living/interior-decorators
home-and-living,interior-decors,Interior Decors,https://www.finelib.com/business/home-and-living/interior-decors
home-and-living,kitchenware,Kitchenware,https://www.finelib.com/business/home-and-living/kitchenware
home-and-living,landscape,Landscape,https://www.finelib.com/business/home-and-living/landscape
home-and-living,lawns-specialist,Lawns Specialist,https://www.finelib.com/business/home-and-living/lawns-specialist
home-and-living,lightings-and-fittings,Lightings and Fittings,https://www.finelib.com/business/home-and-living/lightings-and-fittings
home-and-living,sewage-treatment,Sewage Treatment,https://www.finelib.com/business/home-and-living/sewage-treatment
